TIME,VDD_SYS_GPU_CURRENT,VDD_SYS_GPU_VOLTAGE,VDD_SYS_GPU_POWER,VDD_SYS_SOC_CURRENT,VDD_SYS_SOC_VOLTAGE,VDD_SYS_SOC_POWER,VDD_4VO_WIFI_CURRENT,VDD_4VO_WIFI_VOLTAGE,VDD_4VO_WIFI_POWER,VDD_IN_CURRENT,VDD_IN_VOLTAGE,VDD_IN_POWER,VDD_SYS_CPU_CURRENT,VDD_SYS_CPU_VOLTAGE,VDD_SYS_CPU_POWER,VDD_SYS_DDR_CURRENT,VDD_SYS_DDR_VOLTAGE,VDD_SYS_DDR_POWER,VDD_MUX_CURRENT,VDD_MUX_VOLTAGE,VDD_MUX_POWER,VDD_5VO_IO_SYS_CURRENT,VDD_5VO_IO_SYS_VOLTAGE,VDD_5VO_IO_SYS_POWER,VDD_3V3_SYS_CURRENT,VDD_3V3_SYS_VOLTAGE,VDD_3V3_SYS_POWER,VDD_3V3_IO_SLP_CURRENT,VDD_3V3_IO_SLP_VOLTAGE,VDD_3V3_IO_SLP_POWER,VDD_1V8_IO_CURRENT,VDD_1V8_IO_VOLTAGE,VDD_1V8_IO_POWER,VDD_3V3_SYSi_M2_CURRENT,VDD_3V3_SYSi_M2_VOLTAGE,VDD_3V3_SYSi_M2_POWER
29m 57s 802,8,19144,153,24,19144,459,0,4824,0,120,19136,2296,12,19136,229,72,4824,347,14,19152,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 57s 916,8,19144,153,24,19144,459,0,4824,0,120,19136,2296,12,19136,229,72,4824,347,14,19152,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 30,8,19144,153,24,19144,459,0,4824,0,120,19136,2296,12,19136,229,72,4824,347,14,19152,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 146,8,19144,153,24,19144,459,0,4824,0,120,19136,2296,12,19136,229,72,4824,347,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 262,8,19144,153,24,19144,459,0,4824,0,122,19136,2334,16,19136,306,76,4824,366,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 373,8,19144,153,24,19136,459,0,4824,0,128,19136,2449,16,19136,306,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 482,8,19144,153,24,19136,459,0,4824,0,130,19136,2487,20,19136,382,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 592,8,19144,153,24,19136,459,0,4824,0,132,19136,2525,20,19136,382,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 702,8,19144,153,24,19136,459,0,4824,0,134,19136,2564,24,19136,459,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 812,8,19144,153,24,19136,459,0,4824,0,136,19136,2602,24,19136,459,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 58s 921,8,19144,153,24,19136,459,0,4824,0,136,19136,2602,24,19136,459,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 31,8,19144,153,24,19136,459,0,4824,0,136,19136,2602,24,19136,459,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 141,8,19144,153,24,19136,459,0,4824,0,138,19136,2640,24,19136,459,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 250,8,19144,153,28,19136,535,0,4824,0,138,19136,2640,24,19136,459,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 360,8,19144,153,28,19136,535,0,4824,0,138,19136,2640,28,19136,535,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 470,8,19144,153,28,19136,535,0,4824,0,138,19136,2640,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 580,8,19144,153,28,19136,535,0,4824,0,140,19136,2679,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 689,8,19144,153,28,19136,535,0,4824,0,140,19136,2679,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1816,0,0,3320,0
29m 59s 799,8,19144,153,28,19136,535,0,4824,0,140,19136,2679,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
29m 59s 909,8,19144,153,28,19136,535,0,4824,0,140,19136,2679,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
30m 0s 18,8,19144,153,28,19136,535,0,4824,0,140,19136,2679,28,19136,535,80,4824,385,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1816,0,0,3320,0
30m 0s 128,8,19144,153,28,19136,535,0,4824,0,144,19136,2755,28,19136,535,84,4824,405,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1816,0,0,3320,0
30m 0s 238,8,19144,153,28,19136,535,0,4824,0,144,19136,2755,28,19136,535,88,4824,424,14,19144,268,24,4992,119,12,3320,39,0,3320,0,0,1808,0,0,3320,0
